antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['interface', '5678']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['interface', '5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['interface', '0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['0x0800', 'ethertype']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['udp', 'ethertype']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['udp', 'ethertype', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['0x0800', 'ethertype', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['0x0800', 'looped']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['udp', 'looped']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['udp', 'looped', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['0x0800', 'looped', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['mac', '0x0800']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['mac', 'udp']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['mac', 'udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['mac', '0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['0x0800', 'bridge']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['udp', 'bridge']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['udp', 'bridge', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['0x0800', 'bridge', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['0x0800', 'warning']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['udp', 'warning']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['udp', 'warning', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['0x0800', 'warning', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['0x0800', 'r2-dist']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['udp', 'r2-dist']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['udp', 'r2-dist', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
